keyword,keyword_id
Collaborative,P02S02K14
Social,P07S02K08
Straight forward,P07S02K12
Responsible,P06S02K10
Hands off approach to management,P07S03K22
Skeptical,P06S03K18
Discounting self,P09S03K16
Low process orientation,P07S03K17
Blunt,P07S03K18
Fear of commitment,P07S03K19
Inflexible,P01S03K10
Risk Aversive,P01S03K04
Lack big picture understanding,P01S03K05
Micro management,P01S03K06
Blunt,P01S03K07
Judgmental,P01S03K11
Resentful,P01S03K12
Insistent Individualist,P04S03K01
Private,P04S03K05
Low self-esteem,P04S03K06
Envy,P04S03K13
Impractical,P04S03K12
Moody,P04S03K10
Not participative,P05S03K01
Unproductive,P05S03K13
Private,P05S03K06
Anxious,P06S03K09
Risk aversive,P06S03K14
Lack follow through,P07S03K16
Casual attitude,P07S03K20
Overextending self,P03S03K11
Fear of failure,P03S03K12
Overly competitive,P03S03K13
Impatient,P03S03K14
Self-promoting,P03S03K15
Image conscious,P03S03K16
Ignore feelings (of self and others),P03S03K18
Closed to feedback,P03S03K20
Too diplomatic,P03S03K21
Short term focus,P03S03K17
Independent,P05S02K07
Argumentative,P05S03K09
Overemphasis on autonomy,P07S03K21
Conflict avoidant,P09S03K01
Not expressive,P09S03K02
Unassertive,P09S03K04
Difficulty prioritizing,P09S03K10
Indecisive,P09S03K11
Self developing,P03S02K10
Excellent promoter,P03S02K01
Ambitious,P03S02K02
Goal-oriented,P03S02K04
Overcommitting,P03S03K10
Poor relationship orientation,P03S03K19
Blunt,P08S03K07
Confrontational,P08S03K08
Controlling,P08S03K09
Inflexible,P08S03K10
Fear being vulnerable,P08S03K13
Impulsive,P08S03K14
Difficulty trusting others,P08S03K12
Short tempered,P08S03K06
Low process orientation,P08S03K15
Passionate,P04S02K10
Emotional awareness,P04S02K11
Empathic,P04S02K13
Avoiding mundane work,P04S03K02
Feeling misunderstood,P04S03K07
Sensitive,P04S03K11
Keen observer,P05S02K01
Investigator,P05S02K02
Innovative,P05S02K03
Objective,P05S02K04
Critical thinker,P05S02K05
Detached,P05S02K06
Skeptical,P05S03K08
Cold,P05S03K10
Non-collaborative,P05S03K12
Stuck in preparation mode,P05S03K14
Blunt,P04S03K14
Overemphasis on facts,P05S03K07
Arrogant,P05S03K11
Strong & confident,P08S02K01
Action-oriented,P08S02K02
Decisive,P08S02K05
Protective,P08S02K06
Straight forward,P08S02K07
Risk taking,P08S02K09
Overextending self,P01S03K02
Relationship builder,P02S02K02
Responsible,P01S02K03
Service orientation,P02S02K11
Emphatic,P02S02K04
Supportive,P02S02K05
Excessive need for perfection,P01S03K01
Avoiding negativity,P07S03K01
Scattered,P07S03K03
Impatient,P07S03K07
Unassertive,P02S03K12
Sensitive,P02S03K15
Over-accommodating,P02S03K13
Neglecting own needs,P02S03K14
Impractical,P02S03K16
Seeking appreciation,P02S03K17
Intrusive,P02S03K20
Flattering,P02S03K21
Image Conscious,P02S03K22
Manipulative,P02S03K23
Unrealistic,P07S03K04
Flexible,P07S02K03
Energetic,P07S02K07
Spontaneous,P07S02K09
Principled,P01S02K04
Organized,P01S02K05
Striving for perfection,P01S02K06
Prepared,P06S02K01
Loyal,P06S02K06
Dependent,P06S03K13
Self-doubting,P06S03K15
Over-thinker,P06S03K16
Difficulty trusting others,P06S03K17
Calm,P09S02K02
Content,P09S02K03
Receptive,P09S02K04
Approachable,P09S02K06
Accommodating,P09S02K09
Complacent,P09S03K13
Unrealistic,P09S03K14
